"Support","Confidence","Lift","Recommended_item","Recommended_with","Items_list"
0.05004389815627744,0.6404494382022472,1.700400722872633,"juice","<---","[yogurt, toilet paper, aluminum foil]"
0.05004389815627744,0.6195652173913044,1.644952873213743,"juice","<---","[yogurt, poultry, aluminum foil]"
0.05004389815627744,0.6129032258064516,1.6159647550776581,"coffee/tea","<---","[yogurt, cheeses, cereals]"
0.05004389815627744,0.6,1.4237499999999998,"poultry","<---","[dishwashing liquid/detergent, laundry detergent, mixes]"
0.050921861281826165,0.6304347826086957,1.6777224705404308,"mixes","<---","[yogurt, poultry, aluminum foil]"
0.050921861281826165,0.6105263157894737,1.6596407486496672,"sandwich bags","<---","[cheeses, bagels, cereals]"
0.050921861281826165,0.6744186046511628,1.7262085184217402,"cheeses","<---","[bagels, cereals, sandwich bags]"
0.050921861281826165,0.6170212765957447,1.5582865499834881,"cereals","<---","[cheeses, bagels, sandwich bags]"
0.050921861281826165,0.6304347826086957,1.6209147119442537,"dinner rolls","<---","[spaghetti sauce, poultry, cereals]"
0.050921861281826165,0.6373626373626373,1.5124084249084249,"poultry","<---","[dinner rolls, spaghetti sauce, cereals]"
0.050921861281826165,0.6041666666666667,1.5892513471901464,"milk","<---","[poultry, laundry detergent, cereals]"
0.05179982440737489,0.6276595744680852,1.6101447191872726,"eggs","<---","[dinner rolls, poultry, soda]"
0.05179982440737489,0.641304347826087,1.6488615173226029,"dinner rolls","<---","[spaghetti sauce, poultry, ice cream]"
0.05179982440737489,0.686046511627907,1.6279312015503875,"poultry","<---","[dinner rolls, spaghetti sauce, ice cream]"
0.05179982440737489,0.6276595744680852,1.613779357379569,"dinner rolls","<---","[spaghetti sauce, poultry, juice]"
0.05179982440737489,0.6020408163265306,1.42859268707483,"poultry","<---","[dinner rolls, spaghetti sauce, juice]"
0.05179982440737489,0.6344086021505376,1.627458103264555,"eggs","<---","[paper towels, dinner rolls, pasta]"
0.05179982440737489,0.6020408163265306,1.6210980846239207,"pasta","<---","[paper towels, eggs, dinner rolls]"
0.053555750658472345,0.6421052631578947,1.6509207556136392,"dinner rolls","<---","[spaghetti sauce, poultry, laundry detergent]"
0.053555750658472345,0.6559139784946236,1.556429211469534,"poultry","<---","[dinner rolls, spaghetti sauce, laundry detergent]"
0.0553116769095698,0.6237623762376238,1.564901644349457,"ice cream","<---","[paper towels, eggs, pasta]"
0.0553116769095698,0.63,1.6161486486486487,"eggs","<---","[paper towels, ice cream, pasta]"
0.0553116769095698,0.6428571428571429,1.731003039513678,"pasta","<---","[paper towels, eggs, ice cream]"
0.0553116769095698,0.6494845360824743,1.7911934300192207,"paper towels","<---","[eggs, ice cream, pasta]"
